iteration,wins,draws,losses,win_rate,elo_diff,promoted
5,0,20,0,0.5000,0.0,0
10,0,20,0,0.5000,0.0,0
15,0,20,0,0.5000,0.0,0
20,0,19,1,0.4750,-17.4,0
25,0,18,2,0.4500,-34.9,0
30,0,20,0,0.5000,0.0,0
35,0,20,0,0.5000,0.0,0
40,0,20,0,0.5000,0.0,0
45,0,19,1,0.4750,-17.4,0
50,0,19,1,0.4750,-17.4,0
55,0,19,1,0.4750,-17.4,0
60,0,20,0,0.5000,0.0,0
65,0,19,1,0.4750,-17.4,0
70,0,19,1,0.4750,-17.4,0
75,0,19,1,0.4750,-17.4,0
80,1,19,0,0.5250,17.4,0
85,0,20,0,0.5000,0.0,0
90,0,20,0,0.5000,0.0,0
95,0,20,0,0.5000,0.0,0
100,0,20,0,0.5000,0.0,0
105,0,20,0,0.5000,0.0,0
110,0,20,0,0.5000,0.0,0
115,0,20,0,0.5000,0.0,0
120,0,20,0,0.5000,0.0,0
125,0,20,0,0.5000,0.0,0
130,0,20,0,0.5000,0.0,0
135,0,20,0,0.5000,0.0,0
140,0,20,0,0.5000,0.0,0
145,0,20,0,0.5000,0.0,0
150,0,20,0,0.5000,0.0,0
155,0,20,0,0.5000,0.0,0
160,0,20,0,0.5000,0.0,0
165,0,20,0,0.5000,0.0,0
170,0,20,0,0.5000,0.0,0
175,0,20,0,0.5000,0.0,0
180,0,20,0,0.5000,0.0,0
185,0,20,0,0.5000,0.0,0
190,0,20,0,0.5000,0.0,0
195,0,20,0,0.5000,0.0,0
200,0,20,0,0.5000,0.0,0
205,0,20,0,0.5000,0.0,0
210,0,20,0,0.5000,0.0,0
215,0,20,0,0.5000,0.0,0
220,0,20,0,0.5000,0.0,0
