iteration,sp_time_s,avg_moves,examples,train_loss,pol_loss,val_loss,iter_time_s
1,618.6,145.8,12616,6.9120,6.7470,0.1649,624.4
2,725.0,171.3,14978,6.3525,6.2114,0.1411,730.3
3,742.0,167.6,14874,6.2847,6.1066,0.1781,747.4
4,716.7,156.5,13673,6.1495,5.9680,0.1816,722.1
5,764.8,165.7,14639,5.9635,5.7758,0.1877,1797.3
6,812.7,167.9,14829,5.7297,5.5564,0.1733,818.3
7,783.4,155.1,13546,5.4524,5.2906,0.1618,789.1
8,856.0,163.4,14263,5.1528,5.0029,0.1499,861.9
9,837.5,150.8,13151,4.8519,4.7155,0.1364,843.8
10,821.2,153.1,13339,4.5828,4.4577,0.1251,1797.5
11,834.3,149.2,13005,4.3111,4.1983,0.1128,840.7
12,742.2,131.6,11231,4.1168,4.0119,0.1049,748.7
13,718.4,124.6,10538,3.9153,3.8181,0.0971,725.1
14,661.8,115.1,9522,3.7699,3.6797,0.0901,668.4
15,610.9,106.5,8556,3.6199,3.5373,0.0826,1029.0
16,517.7,89.7,7010,3.5153,3.4385,0.0768,524.8
17,547.8,93.1,7352,3.3928,3.3201,0.0727,555.0
18,486.6,81.8,6221,3.3071,3.2375,0.0696,493.7
19,445.0,74.8,5568,3.2376,3.1725,0.0651,452.0
20,384.4,64.5,4505,3.1821,3.1194,0.0626,790.2
21,304.5,54.1,3542,3.1210,3.0608,0.0602,311.7
22,368.2,60.1,4151,3.0731,3.0152,0.0580,375.5
23,419.7,69.3,4941,3.0189,2.9633,0.0556,427.0
24,339.7,57.5,3773,2.9716,2.9181,0.0534,346.9
25,281.7,53.0,3343,2.9267,2.8759,0.0508,507.3
26,322.3,55.7,3559,2.8851,2.8353,0.0498,329.6
27,325.1,55.5,3568,2.8282,2.7802,0.0480,332.4
28,338.2,58.1,3903,2.8033,2.7566,0.0466,345.5
29,325.1,54.5,3447,2.7518,2.7071,0.0447,332.4
30,342.8,56.9,3777,2.7390,2.6946,0.0444,605.2
31,374.5,60.8,4193,2.6880,2.6448,0.0432,382.1
